Date,Temperature,Humidity,Elevation,Petrol tax,Nifty 50 turnover,Number of dispensers in fuel station,Storage capacity,Number of vehicles visiting the station,Petrol Sold,Diesel Sold
2023-05-28,25.0,12,700,27,26460.2,6,15,7471,34.2,35.8
2023-05-29,24.0,11,700,34,35118.57,6,15,4348,21.5,31.4
2023-05-30,26.0,13,700,20,23032.99,6,15,2917,58.9,41.2
2023-05-31,23.0,10,700,32,21562.08,6,15,8030,47.6,32.3
2023-06-01,27.0,14,700,16,19457.45,6,15,4775,43.0,27.9
2023-06-02,28.0,15,700,29,19091.44,6,15,9102,32.406,38.9
2023-06-03,26.0,13,700,23,23142.94,6,15,5603,36.9,52.7
2023-06-04,25.0,12,700,35,28819.53,6,15,3244,55.3,46.2
2023-06-05,24.0,11,700,15,21295.14,6,15,7888,31.1,39.5
2023-06-06,23.0,10,700,28,24454.15,6,15,3029,44.6,34.4
2023-06-07,22.0,9,700,14,27026.12,6,15,7022,54.7,23.5
2023-06-08,21.0,8,700,19,23615.47,6,15,5831,29.8,56.7
2023-06-09,20.0,7,700,22,19079.79,6,15,4335,28.4,38.1
2023-06-10,19.0,6,700,33,21889.48,6,15,7499,35.8,49.906
2023-06-11,18.0,5,700,30,26152.88,6,15,6236,24.5,53.3
2023-06-12,19.0,6,700,24,22687.94,6,15,9486,40.7,24.5
2023-06-13,20.0,7,700,21,23478.06,6,15,7287,23.3,50.3
2023-06-14,21.0,8,700,25,21416.41,6,15,5783,40.5,54.1
2023-06-15,22.0,9,700,18,26440.1,6,15,3901,43.6,40.6
2023-06-16,23.0,10,700,31,22046.04,6,15,6653,32.5,55.7
2023-06-17,24.0,11,700,36,19329.75,6,15,5505,49.2,44.6
2023-06-18,25.0,12,700,17,21063.78,6,15,3989,29.5,41.7
2023-06-19,26.0,13,700,26,20903.12,6,15,9825,41.0,57.2
2023-06-20,27.0,14,700,13,24172.44,6,15,3859,42.406,51.3
2023-06-21,28.0,15,700,16,22105.67,6,15,7501,44.0,46.7
