Truck name,No. of times used
B_120,30
B_184,30
B_186,30
A_195,30
A_198,30
A_93,30
B_89,30
B_356,30
B_39,30
A_217,30
B_43,30
A_222,30
B_238,30
B_48,30
B_243,30
B_315,30
A_259,30
B_310,30
A_267,30
B_305,30
A_272,30
A_274,30
A_394,30
A_400,30
B_285,30
B_410,30
B_183,30
A_436,30
B_173,30
B_496,30
A_488,30
B_409,30
B_478,30
B_419,30
B_5,30
A_430,30
B_421,30
A_157,30
A_109,30
B_447,30
B_453,30
A_129,30
B_246,30
B_270,30
A_276,30
A_265,30
B_141,30
B_220,30
A_239,30
B_156,30
B_110,30
A_214,30
B_213,30
B_207,30
A_107,30
B_166,30
A_98,30
A_280,30
B_100,30
B_174,30
A_142,30
B_187,30
A_1,30
A_60,30
A_382,30
B_383,30
A_365,30
A_387,30
B_63,30
A_22,30
B_359,30
A_354,30
B_345,30
A_342,30
A_336,30
A_381,30
A_329,30
A_327,30
A_333,30
A_11,30
A_444,30
B_441,30
A_326,30
B_14,30
A_302,30
A_371,30
A_55,30
A_53,30
A_426,30
B_417,30
A_144,30
B_420,30
B_413,30
B_132,30
A_130,30
A_463,30
A_414,30
B_423,30
A_288,30
B_369,30
B_289,30
A_290,30
A_279,30
B_278,30
B_124,30
A_275,30
A_292,30
B_297,30
A_271,30
B_314,30
B_234,30
B_229,30
A_340,30
A_208,30
A_202,30
B_364,30
B_196,30
B_194,30
B_361,30
B_250,30
A_42,30
A_24,30
B_58,30
A_57,30
B_65,30
A_29,30
B_52,30
B_448,30
B_8,30
A_446,30
A_233,30
B_9,30
A_357,30
B_119,30
A_224,30
B_163,30
B_374,30
A_152,30
A_312,30
B_319,30
B_17,30
B_335,30
A_418,30
B_23,30
A_104,30
A_45,30
B_343,30
A_179,30
A_44,30
A_425,30
B_16,30
B_454,30
A_477,30
B_495,30
A_261,30
B_494,30
A_96,30
B_363,30
B_251,30
A_264,30
A_489,30
B_249,30
B_484,30
A_277,30
A_68,30
B_392,30
B_138,30
A_472,30
B_242,30
B_468,30
B_190,30
A_287,30
A_349,30
B_460,30
B_459,30
B_236,30
A_347,30
A_92,30
A_352,30
B_41,30
A_201,30
A_204,30
B_300,30
A_88,30
A_338,30
A_51,30
B_293,30
A_59,30
A_291,30
A_286,30
A_281,30
B_67,30
B_266,30
A_263,30
A_262,30
A_210,30
A_199,30
B_500,30
B_38,30
A_481,30
A_475,30
A_168,30
A_167,30
A_106,30
A_136,30
B_148,30
A_474,30
B_355,30
A_114,30
A_108,30
B_445,30
B_150,30
B_456,30
B_470,30
B_486,30
A_464,30
A_125,30
B_490,30
B_406,30
B_403,30
A_127,30
B_388,30
B_386,30
A_493,30
B_385,30
A_377,30
B_18,30
A_193,30
B_77,30
A_366,30
B_123,30
A_367,30
B_3,30
B_467,30
B_283,30
B_466,30
A_71,30
A_308,30
B_298,30
A_370,30
B_348,30
B_344,30
B_27,30
B_25,30
B_412,30
A_330,30
A_328,30
A_422,30
B_318,30
A_434,30
A_12,30
B_309,30
B_439,30
A_440,30
A_295,30
B_257,30
B_121,30
A_101,30
A_203,30
A_191,30
B_212,30
A_83,30
A_235,30
B_79,30
A_182,30
A_499,30
B_253,30
B_254,30
B_116,30
A_84,30
A_189,30
A_161,30
B_358,30
B_33,30
B_32,30
A_258,30
A_94,30
B_376,30
A_331,29
A_49,29
A_325,29
A_323,29
A_322,29
B_221,29
A_197,29
A_346,29
A_389,29
B_384,29
B_128,29
B_483,29
B_4,29
A_473,29
B_471,29
A_469,29
A_465,29
B_455,29
A_452,29
B_451,29
A_450,29
B_437,29
B_162,29
A_15,29
B_164,29
B_178,29
B_395,29
B_223,29
A_102,29
A_99,29
B_225,29
B_54,29
A_70,29
B_244,29
B_75,29
A_78,29
A_241,29
A_284,29
B_80,29
A_248,29
A_62,29
B_256,29
B_378,29
B_64,29
B_368,29
A_391,29
A_397,29
B_399,29
B_192,29
B_408,29
A_105,29
A_416,29
A_424,29
B_380,29
B_432,29
A_311,29
A_35,29
A_498,29
A_255,29
B_117,29
B_482,29
B_133,29
A_480,29
B_479,29
A_76,29
A_134,29
B_135,29
B_113,29
B_143,29
B_145,29
B_6,29
A_154,29
A_158,29
A_159,29
A_160,29
A_247,29
A_69,29
A_37,29
A_405,29
A_321,29
A_232,29
A_230,29
B_316,29
A_215,29
B_95,29
B_320,29
A_218,29
A_334,29
A_91,29
A_10,29
A_301,29
A_438,29
A_332,29
B_435,29
A_429,29
B_165,29
A_20,29
A_87,29
A_415,29
A_21,29
A_431,29
B_449,29
B_7,29
A_339,29
B_2,29
B_307,29
A_260,29
A_487,29
B_131,29
B_85,29
A_219,29
B_273,29
B_137,29
A_50,29
B_228,29
A_462,29
A_146,29
A_147,29
A_458,29
B_74,29
B_112,29
A_175,29
B_379,29
A_282,29
A_82,29
B_40,29
B_81,29
B_34,29
B_30,29
B_351,29
B_240,29
A_97,29
B_362,29
B_36,29
A_353,29
B_373,29
B_66,29
A_237,29
B_209,29
B_200,29
B_26,29
A_211,29
A_372,29
A_86,29
B_115,29
B_442,29
A_443,29
A_61,29
B_299,29
A_407,29
B_153,29
A_341,29
A_226,29
A_303,29
A_73,29
B_180,29
B_151,29
B_155,29
B_185,29
A_46,29
A_126,29
A_398,29
B_19,29
B_171,29
A_170,29
B_169,29
B_181,29
B_337,29
B_296,29
A_492,29
B_427,29
A_188,29
A_13,29
A_313,29
B_269,29
B_176,29
B_485,29
A_56,29
A_402,29
B_317,29
B_306,29
B_252,29
A_139,29
B_491,29
B_118,29
B_122,29
A_360,29
B_497,29
A_227,29
A_476,29
B_304,29
A_72,29
A_268,29
A_404,29
A_177,29
B_411,29
A_396,29
A_172,29
A_245,29
B_393,29
A_428,29
A_90,29
A_216,29
B_433,29
A_390,29
A_103,29
A_28,29
B_206,29
B_47,29
A_111,29
A_31,29
A_205,29
B_401,29
A_231,29
B_350,29
B_149,29
A_457,29
B_375,29
B_461,29
A_324,29
A_140,29
A_294,29
